tvk,code,taxon
NBNSYS0000003719,,Aristolochia clematitis
NHMSYS0000456077,,Armeria maritima
NHMSYS0000456083,,Armoracia rusticana
NHMSYS0000456095,,Arrhenatherum elatius
NBNSYS0000004474,,Artemisia absinthium
NBNSYS0000004476,,Artemisia campestris
NBNSYS0000004469,,Artemisia vulgaris
NBNSYS0000002351,,Arum maculatum
NHMSYS0000456125,,Aruncus dioicus
NHMSYS0000456137,,Asarina procumbens
NBNSYS0000003718,,Asarum europaeum
NBNSYS0000002167,,Asparagus officinalis
NBNSYS0000004686,,Asperula arvensis
NBNSYS0000014864,,Asperula cynanchica
NBNSYS0000004303,,Asperula cynanchica subsp. cynanchica
NBNSYS0000002041,,Asplenium adiantum-nigrum
NBNSYS0000002050,,Asplenium ruta-muraria
NBNSYS0000002046,,Asplenium trichomanes
NHMSYS0000456213,,Asplenium trichomanes subsp. pachyrachis
NHMSYS0000456214,,Asplenium trichomanes subsp. quadrivalens
NHMSYS0000456216,,Asplenium trichomanes subsp. trichomanes
NBNSYS0000142467,,Asplenium viride
NHMSYS0000494988,,Aster agg.
NBNSYS0000004431,,Aster laevis
NBNSYS0000161434,,Aster laevis x novi-belgii = A. x versicolor
NBNSYS0000004433,,Aster lanceolatus
NBNSYS0000004424,,Aster novae-angliae
NBNSYS0000004426,,Aster novi-belgii
NHMSYS0001754534,,Aster novi-belgii x lanceolatus = A. x salignus
NHMSYS0000456257,,Astilbe japonica
NHMSYS0001754435,,Astilbe japonica x chinensis x rosea = A. x arendsii
NBNSYS0000003267,,Astragalus danicus
NBNSYS0000003269,,Astragalus glycyphyllos
NBNSYS0000003635,,Astrantia major
NBNSYS0000002054,,Athyrium filix-femina
NBNSYS0000003115,,Atriplex hortensis
NBNSYS0000003110,,Atriplex littoralis
NBNSYS0000003118,,Atriplex longipes
NBNSYS0000003111,,Atriplex patula
NBNSYS0000003112,,Atriplex prostrata
NBNSYS0000004034,,Atropa belladonna
NBNSYS0000002917,,Aubrieta deltoidea
NBNSYS0000034210,,Aucuba japonica
NBNSYS0000002612,,Avena fatua
NBNSYS0000002615,,Avena sativa
NHMSYS0000456372,,Avena strigosa
NBNSYS0000002090,,Azolla filiculoides
NBNSYS0000002099,,Baldellia ranunculoides
NBNSYS0000004238,,Ballota nigra
NHMSYS0100000754,,Barbarea intermedia
NBNSYS0000002882,,Barbarea stricta
NHMSYS0000456405,,Barbarea verna
NHMSYS0000456406,,Barbarea vulgaris
NBNSYS0000004168,,Bartsia alpina
NBNSYS0000004445,,Bellis perennis
NHMSYS0000456430,,Berberis aggregata
NBNSYS0000014745,,Berberis darwinii
NHMSYS0001754776,,Berberis darwinii x empetrifolia = B. x stenophylla
NHMSYS0000456433,,Berberis gagnepainii
NBNSYS0000004966,,Berberis thunbergii
NBNSYS0000002752,,Berberis vulgaris
NHMSYS0000456438,,Berberis wilsoniae
NHMSYS0000456451,,Berula erecta
NBNSYS0000003106,,Beta vulgaris
NHMSYS0000456453,,Beta vulgaris subsp. vulgaris
NBNSYS0000003827,,Betula pendula
NBNSYS0000161443,,Betula pendula x pubescens = B. x aurata
NBNSYS0000003829,,Betula pubescens
NHMSYS0000456460,,Betula pubescens subsp. pubescens
NBNSYS0000003830,,Betula pubescens subsp. tortuosa
NBNSYS0000004357,,Bidens bipinnata
NBNSYS0000004354,,Bidens cernua
NBNSYS0000004355,,Bidens tripartita
NHMSYS0000456502,,Blackstonia perfoliata
NBNSYS0000002036,,Blechnum spicant
NHMSYS0000456532,,Blysmus compressus
NBNSYS0000002381,,Bolboschoenus maritimus
NBNSYS0000003994,,Borago officinalis
NBNSYS0000002091,,Botrychium lunaria
NHMSYS0000456583,,Brachypodium pinnatum
NHMSYS0000456587,,Brachypodium sylvaticum
NHMSYS0000456599,,Brassica juncea
NBNSYS0000002801,,Brassica napus
NHMSYS0000456605,,Brassica nigra
NBNSYS0000002800,,Brassica oleracea
NBNSYS0000002802,,Brassica rapa
NBNSYS0000014817,,Brassica tournefortii
NBNSYS0000002567,,Briza maxima
NBNSYS0000002565,,Briza media
NBNSYS0000002573,,Bromopsis benekenii
NHMSYS0000456650,,Bromopsis erecta
NHMSYS0000456651,,Bromopsis inermis
NHMSYS0000456655,,Bromopsis ramosa
NBNSYS0000002588,,Bromus arvensis
NHMSYS0000456661,,Bromus commutatus
NBNSYS0000004689,,Bromus hordeaceus
NHMSYS0001754539,,Bromus hordeaceus x lepidus = B. x pseudothominei
NBNSYS0000033592,,Bromus lanceolatus
NHMSYS0000456675,,Bromus lepidus
NBNSYS0000002585,,Bromus racemosus
NBNSYS0000002589,,Bromus secalinus
NHMSYS0000456706,,Brunnera macrophylla
NBNSYS0000003717,,Bryonia dioica
NBNSYS0000014391,,Buddleja alternifolia
NHMSYS0000456713,,Buddleja davidii
NBNSYS0000002858,,Bunias orientalis
NBNSYS0000003660,,Bupleurum falcatum
NBNSYS0000003657,,Bupleurum rotundifolium
NHMSYS0000456733,,Bupleurum subovatum
NBNSYS0000002108,,Butomus umbellatus
NBNSYS0000003197,,Buxus sempervirens
NBNSYS0500000379,,Calamagrostis argentea
NHMSYS0000456750,,Calamagrostis canescens
NBNSYS0000002630,,Calamagrostis epigejos
NBNSYS0000002632,,Calamagrostis stricta
NBNSYS0000004984,,Calceolaria chelidonioides
NBNSYS0000004392,,Calendula officinalis
NBNSYS0000002349,,Calla palustris
NBNSYS0100002151,,Callitriche aggregate
NBNSYS0000003623,,Callitriche brutia
NBNSYS0000042400,,Callitriche hamulata sens.lat.
NBNSYS0000003620,,Callitriche hermaphroditica
NBNSYS0000003618,,Callitriche obtusangula
NHMSYS0000456307,,Callitriche platycarpa
NHMSYS0000523179,,Callitriche stagnalis sensu lato
NBNSYS0000003902,,Calluna vulgaris
NBNSYS0000002691,,Caltha palustris
NHMSYS0000456324,,Calystegia pulchra
NHMSYS0000456325,,Calystegia sepium
NHMSYS0000456329,,Calystegia sepium subsp. sepium
NHMSYS0000456330,,Calystegia silvatica
NBNSYS0000002915,,Camelina microcarpa
NBNSYS0000002914,,Camelina sativa
NBNSYS0000004287,,Campanula glomerata
NHMSYS0000456766,,Campanula lactiflora
NBNSYS0000004282,,Campanula latifolia
NBNSYS0000004292,,Campanula medium
NBNSYS0000004286,,Campanula persicifolia
NHMSYS0000456767,,Campanula portenschlagiana
NBNSYS0000033488,,Campanula poscharskyana
NBNSYS0000004284,,Campanula rapunculoides
NBNSYS0000004290,,Campanula rapunculus
NBNSYS0000004288,,Campanula rotundifolia
NBNSYS0000004283,,Campanula trachelium
NBNSYS0000004692,,Cannabis sativa
NHMSYS0000456781,,Capsella bursa-pastoris
NBNSYS0000002873,,Cardamine amara
