taxon,tvk,start_day,start_month,end_day,end_month,stage
Anthophora furcata,NHMSYS0000875403,1,4,31,10,mature
Anthophora plumipes,NHMSYS0000875407,1,1,31,8,mature
Anthophora quadrimaculata,NHMSYS0000875408,1,3,30,9,mature
Anthophora retusa,NHMSYS0000875409,1,3,31,8,mature
Aphelopus atratus,NHMSYS0000875415,1,5,30,9,mature
Aphelopus melaleucus,NHMSYS0000875419,1,4,30,9,mature
Aphelopus nigriceps,NHMSYS0000875420,1,5,30,6,mature
Aphelopus querceus,NBNSYS0100001612,1,6,31,7,mature
Aphelopus serratus,NHMSYS0000875421,1,5,31,8,mature
Apis mellifera,NHMSYS0000875423,1,1,30,11,mature
Aporus unicolor,NBNSYS0000009434,1,7,30,9,mature
Arachnospila anceps,NBNSYS0000009416,1,4,31,10,mature
Arachnospila consobrina,NBNSYS0000009417,1,6,31,8,mature
Arachnospila minutula,NHMSYS0000875439,1,5,30,9,mature
Arachnospila rufa,NBNSYS0000009422,1,6,30,9,mature
Arachnospila spissa,NHMSYS0000875440,1,4,30,9,mature
Arachnospila trivialis,NBNSYS0000009418,1,4,31,10,mature
Arachnospila wesmaeli,NBNSYS0000009419,1,5,30,9,mature
Argogorytes fargeii,NHMSYS0000875445,1,5,31,8,mature
Argogorytes mystaceus,NHMSYS0000875446,1,4,31,10,mature
Astata boops,NHMSYS0000875449,1,5,31,10,mature
Auplopus carbonarius,NBNSYS0000009398,1,4,31,10,mature
Bethylus boops,NHMSYS0000875457,1,4,31,12,mature
Bethylus dendrophilus,NHMSYS0000875459,1,6,30,9,mature
Bethylus fuscicornis,NHMSYS0000875461,1,2,31,10,mature
Bombus (Bombus) lucorum,NHMSYS0000875473,1,3,30,9,mature
Bombus barbutellus,NBNSYS0100002024,1,3,31,10,mature
Bombus bohemicus,NBNSYS0100002025,1,1,30,11,mature
Bombus campestris,NHMSYS0000875546,1,4,30,11,mature
Bombus cryptarum,NBNSYS0100002027,1,3,30,11,mature
Bombus cullumanus,NHMSYS0000875550,1,5,30,9,mature
Bombus distinguendus,NHMSYS0000875554,1,1,31,10,mature
Bombus humilis,NHMSYS0000875563,1,1,30,11,mature
Bombus hypnorum,NHMSYS0000875564,1,1,30,11,mature
Bombus jonellus,NHMSYS0000875565,1,2,30,11,mature
Bombus magnus,NBNSYS0000009837,1,3,31,12,mature
Bombus monticola,NHMSYS0000875571,1,2,30,11,mature
Bombus muscorum,NHMSYS0000875572,1,1,31,10,mature
Bombus ruderarius,NHMSYS0000875582,1,3,31,10,mature
Bombus ruderatus,NHMSYS0000875583,1,2,31,10,mature
Bombus rupestris,NBNSYS0100002028,1,2,30,9,mature
Bombus soroeensis,NHMSYS0000875588,1,4,31,10,mature
Bombus subterraneus,NHMSYS0000875592,1,3,30,11,mature
Bombus sylvarum,NHMSYS0000875593,1,2,31,10,mature
Bombus sylvestris,NHMSYS0000875594,1,2,30,11,mature
Bombus vestalis,NBNSYS0100002030,1,1,30,11,mature
Caliadurgus fasciatellus,NBNSYS0000009399,1,5,31,10,mature
Cephalonomia formiciformis,NHMSYS0000875607,1,5,30,9,mature
Cerceris arenaria,NHMSYS0000875625,1,4,30,9,mature
Cerceris quadricincta,NHMSYS0000875631,1,6,30,9,mature
Cerceris quinquefasciata,NHMSYS0000875632,1,6,30,9,mature
Cerceris ruficornis,NHMSYS0000875633,1,6,30,9,mature
Cerceris rybyensis,NHMSYS0000875634,1,4,31,10,mature
Ceropales maculata,NHMSYS0000875637,1,4,30,9,mature
Ceropales variegata,NHMSYS0000875638,1,6,30,9,mature
Chelostoma campanularum,NHMSYS0000875648,1,5,30,9,mature
Chelostoma florisomne,NHMSYS0000875649,1,5,31,8,mature
Chrysis angustula,NHMSYS0000875654,1,1,31,10,mature
Chrysis fulgida,NHMSYS0000875658,1,5,31,8,mature
Chrysis gracillima,NHMSYS0000875659,1,5,30,9,mature
Chrysis ignita sensu lato,NHMSYS0020936552,1,4,31,10,mature
Chrysis illigeri,NHMSYS0000875662,1,4,30,9,mature
Chrysis impressa,NHMSYS0000875663,1,4,30,9,mature
Chrysis longula,NHMSYS0000875664,1,5,30,6,mature
Chrysis mediata,NHMSYS0000875665,1,3,30,9,mature
Chrysis pseudobrevitarsis,NHMSYS0000875667,1,6,30,6,mature
Chrysis ruddii,NHMSYS0000875668,1,5,30,9,mature
Chrysis rutiliventris,NHMSYS0000875669,1,4,30,9,mature
Chrysis schencki,NHMSYS0000875670,1,4,31,8,mature
Chrysis viridula,NHMSYS0000875674,1,4,30,9,mature
Chrysura hirsuta,NHMSYS0000875676,1,5,31,7,mature
Chrysura radians,NHMSYS0000875679,1,4,30,9,mature
Cleptes nitidulus,NHMSYS0000875681,1,5,31,8,mature
Cleptes semiauratus,NHMSYS0000875683,1,5,30,9,mature
Coelioxys (Coelioxys) conoidea,NHMSYS0000875690,1,5,31,8,mature
Coelioxys elongata,NHMSYS0000875700,1,5,30,9,mature
Coelioxys inermis,NHMSYS0000875701,1,5,30,9,mature
Coelioxys mandibularis,NHMSYS0000875702,1,5,31,8,mature
Coelioxys quadridentata,NHMSYS0000875703,1,6,30,9,mature
Coelioxys rufescens,NHMSYS0000875704,1,5,31,12,mature
Colletes cunicularius,NHMSYS0000875722,1,3,30,6,mature
Colletes daviesanus,NHMSYS0000875723,1,4,31,10,mature
Colletes floralis,NHMSYS0000875724,1,6,31,8,mature
Colletes fodiens,NHMSYS0000875725,1,5,30,9,mature
Colletes halophilus,NHMSYS0000875726,1,7,31,10,mature
Colletes hederae,NBNSYS0100002538,1,4,30,11,mature
Colletes marginatus,NHMSYS0000875727,1,6,31,8,mature
Colletes similis,NHMSYS0000875730,1,5,31,10,mature
Colletes succinctus,NHMSYS0000875731,1,1,31,10,mature
Crabro cribrarius,NHMSYS0000875733,1,5,30,9,mature
Crabro peltarius,NHMSYS0000875734,1,5,30,9,mature
Crabro scutellatus,NHMSYS0000875735,1,6,30,9,mature
Crematogaster scutellaris,NHMSYS0000875739,1,4,30,4,mature
Crossocerus annulipes,NHMSYS0000875774,1,1,31,10,mature
Crossocerus binotatus,NHMSYS0000875777,1,5,31,10,mature
Crossocerus capitosus,NHMSYS0000875778,1,3,30,9,mature
Crossocerus cetratus,NHMSYS0000875780,1,5,30,9,mature
Crossocerus congener,NHMSYS0000875782,1,6,30,9,mature
Crossocerus dimidiatus,NHMSYS0000875783,1,5,30,11,mature
Crossocerus distinguendus,NHMSYS0000875784,1,4,30,9,mature
Crossocerus elongatulus,NHMSYS0000875785,1,3,31,10,mature
Crossocerus exiguus,NHMSYS0000875786,1,6,30,9,mature
Crossocerus leucostomus,NHMSYS0000875791,1,5,31,8,mature
Crossocerus megacephalus,NHMSYS0000875792,1,1,31,10,mature
Crossocerus nigritus,NHMSYS0000875793,1,4,30,9,mature
Crossocerus ovalis,NHMSYS0000875794,1,4,30,9,mature
Crossocerus palmipes,NHMSYS0000875797,1,6,31,10,mature
Crossocerus podagricus,NHMSYS0000875798,1,5,31,12,mature
Crossocerus quadrimaculatus,NHMSYS0000875801,1,5,31,10,mature
Crossocerus styrius,NHMSYS0000875804,1,5,31,10,mature
Crossocerus vagabundus,NHMSYS0000875806,1,5,31,8,mature
Crossocerus walkeri,NHMSYS0000875810,1,5,30,9,mature
Crossocerus wesmaeli,NHMSYS0000875811,1,5,31,10,mature
Cryptocheilus notatus [Genus inferred],NHMSYS0000875815,1,5,30,9,mature
Dasypoda hirtipes,NHMSYS0000875818,1,5,30,9,mature
Didineis lunicornis,NBNSYS0100002844,1,7,31,10,mature
Dinetus pictus,NHMSYS0000875825,1,7,31,7,mature
Diodontus insidiosus,NHMSYS0000875828,1,5,31,10,mature
Diodontus luperus,NHMSYS0000875829,1,5,31,10,mature
Diodontus minutus,NHMSYS0000875830,1,5,31,10,mature
Diodontus tristis,NHMSYS0000875831,1,5,31,10,mature
Dipogon bifasciatus,NBNSYS0000009395,1,5,30,9,mature
Dipogon subintermedius,NBNSYS0000009396,1,4,31,10,mature
Dipogon variegatus,NBNSYS0000009397,1,5,31,10,mature
Dolichovespula norwegica,NHMSYS0000875847,1,4,30,11,mature
Dolichovespula saxonica,NHMSYS0000875848,1,1,30,11,mature
Dryinus collaris,NHMSYS0000875854,1,6,30,6,mature
Dryinus niger,NHMSYS0000875856,1,7,31,7,mature
Dryudella pinguis,NBNSYS0100002902,1,5,30,9,mature
Dufourea halictula,NHMSYS0000875860,1,6,30,6,mature
Dufourea minuta,NBNSYS0000009745,1,6,31,8,mature
Ectemnius borealis,NHMSYS0000875877,1,5,30,9,mature
Ectemnius cavifrons,NHMSYS0000875878,1,1,30,11,mature
Ectemnius cephalotes,NHMSYS0000875879,1,2,31,10,mature
Ectemnius continuus [Genus inferred],NHMSYS0000875882,1,1,31,10,mature
Ectemnius dives,NHMSYS0000875883,1,5,30,9,mature
Ectemnius lapidarius,NHMSYS0000875885,1,4,30,9,mature
Ectemnius rubicola,NHMSYS0000875893,1,4,30,9,mature
Ectemnius ruficornis,NHMSYS0000875894,1,4,30,9,mature
Ectemnius sexcinctus,NBNSYS0000009512,1,6,30,9,mature
Elampus panzeri,NHMSYS0000875899,1,5,31,8,mature
Embolemus ruddii,NHMSYS0000875903,1,1,31,10,mature
Entomognathus brevis,NHMSYS0000875906,1,5,30,9,mature
Epeolus cruciger,NHMSYS0000875908,1,5,31,10,mature
Epeolus variegatus,NHMSYS0000875912,1,5,31,10,mature
Episyron rufipes,NHMSYS0000875915,1,5,31,10,mature
Epyris bilineatus,NHMSYS0000875918,1,5,30,9,mature
Epyris niger,NHMSYS0000875923,1,4,30,9,mature
Eucera longicornis,NHMSYS0000875930,1,4,31,8,mature
Eucera nigrescens,NHMSYS0000875931,1,5,31,8,mature
Eumenes coarctatus,NHMSYS0000875934,1,5,31,10,mature
Eumenes papillarius,NBNSYS0100003105,1,7,31,8,mature
Euodynerus quadrifasciatus,NHMSYS0000875939,1,5,31,8,mature
Evagetes crassicornis,NBNSYS0000009424,1,4,31,10,mature
Evagetes dubius,NHMSYS0000875943,1,4,31,10,mature
Evagetes pectinipes,NHMSYS0000875944,1,6,30,9,mature
Formica aquilonia,NHMSYS0000875949,1,2,30,11,mature
Formica exsecta,NHMSYS0000875953,1,4,31,10,mature
Formica fusca,NHMSYS0000875954,1,1,30,11,mature
Formica picea [Genus inferred],NHMSYS0000875960,1,4,30,9,mature
Formica pratensis,NHMSYS0000875961,1,4,30,9,mature
Formica rufibarbis,NHMSYS0000875964,1,3,30,9,mature
Formica sanguinea,NHMSYS0000875966,1,1,31,10,mature
Formicoxenus nitidulus,NHMSYS0000875971,1,1,30,11,mature
Gonatopus albosignatus,NHMSYS0020526926,1,6,31,7,mature
Gonatopus bicolor,NHMSYS0000875975,1,6,31,7,mature
Gonatopus clavipes,NHMSYS0000875976,1,5,30,11,mature
Gonatopus distinguendus,NHMSYS0000875979,1,6,30,11,mature
Gonatopus lunatus,NHMSYS0000875985,1,6,30,9,mature
Gonatopus striatus,NHMSYS0000875994,1,5,31,7,mature
Goniozus claripennis,NHMSYS0000875999,1,5,30,9,mature
Gorytes laticinctus,NHMSYS0000876005,1,5,30,9,mature
Gorytes quadrifasciatus,NHMSYS0000876006,1,6,30,9,mature
Gymnomerus laevipes,NBNSYS0000009446,1,1,31,8,mature
Halictus confusus,NHMSYS0000876021,1,4,31,10,mature
Halictus eurygnathus,NHMSYS0000876022,1,5,30,9,mature
Halictus maculatus,NHMSYS0000876025,1,5,30,9,mature
Halictus rubicundus,NHMSYS0000876030,1,3,31,10,mature
Halictus tumulorum,NHMSYS0000876034,1,3,31,12,mature
Haplogonatopus oratorius,NHMSYS0000876036,1,6,30,6,mature
Harpactus tumidus,NHMSYS0000876038,1,5,30,9,mature
Hedychridium ardens,NHMSYS0000876040,1,5,30,9,mature
Hedychridium coriaceum,NHMSYS0000876041,1,5,31,8,mature
Hedychridium cupreum,NHMSYS0000876042,1,5,31,8,mature
Hedychridium roseum,NHMSYS0000876044,1,6,30,9,mature
Hedychrum niemelai,NHMSYS0000876047,1,5,30,9,mature
Heriades truncorum,NHMSYS0000876052,1,5,30,9,mature
Homonotus sanguinolentus,NHMSYS0000876062,1,6,30,9,mature
Hoplitis claviventris,NHMSYS0000876071,1,1,30,9,mature
Hylaeus brevicornis,NHMSYS0000876098,1,4,30,9,mature
Hylaeus communis,NHMSYS0000876099,1,1,31,10,mature
Hylaeus confusus,NHMSYS0000876100,1,4,30,9,mature
Hylaeus cornutus,NHMSYS0000876101,1,6,30,9,mature
Hylaeus hyalinatus,NHMSYS0000876106,1,3,30,9,mature
Hylaeus incongruus,NHMSYS0020936570,1,4,30,9,mature
Hylaeus pictipes,NHMSYS0000876111,1,4,30,9,mature
Hylaeus signatus,NHMSYS0000876116,1,4,31,10,mature
Lasioglossum albipes,NHMSYS0000876168,1,3,30,11,mature
Lasioglossum angusticeps,NHMSYS0000876169,1,4,30,9,mature
Lasioglossum brevicorne,NHMSYS0000876173,1,5,30,9,mature
Lasioglossum calceatum,NHMSYS0000876174,1,1,30,11,mature
Lasioglossum cupromicans,NHMSYS0000876175,1,4,31,10,mature
Lasioglossum fratellum,NHMSYS0000876178,1,3,31,10,mature
Lasioglossum fulvicorne,NHMSYS0000876180,1,2,31,10,mature
Lasioglossum laevigatum,NHMSYS0000876184,1,3,31,10,mature
Lasioglossum laticeps,NHMSYS0000876185,1,3,30,9,mature
Lasioglossum lativentre,NBNSYS0100003668,1,2,31,10,mature
Lasioglossum leucopus,NBNSYS0100003669,1,3,31,10,mature
Lasioglossum leucozonium,NHMSYS0000876186,1,3,31,12,mature
Lasioglossum malachurum,NBNSYS0100003670,1,2,30,11,mature
Lasioglossum minutissimum,NHMSYS0000876191,1,3,30,11,mature
Lasioglossum morio,NHMSYS0000876193,1,2,30,11,mature
Lasioglossum nitidiusculum,NHMSYS0000876195,1,3,31,10,mature
Lasioglossum parvulum,NHMSYS0000876198,1,2,31,10,mature
Lasioglossum pauperatum,NHMSYS0000876199,1,3,30,9,mature
Lasioglossum pauxillum,NHMSYS0000876200,1,3,31,10,mature
Lasioglossum prasinum,NHMSYS0000876201,1,4,30,11,mature
Lasioglossum punctatissimum,NHMSYS0000876202,1,3,31,10,mature
Lasioglossum puncticolle,NHMSYS0000876203,1,3,31,10,mature
Lasioglossum quadrinotatum,NHMSYS0000876205,1,3,30,9,mature
Lasioglossum rufitarse,NHMSYS0000876206,1,2,31,10,mature
Lasioglossum semilucens,NHMSYS0000876208,1,4,31,10,mature
Lasioglossum sexnotatum,NHMSYS0000876210,1,4,31,8,mature
Lasioglossum villosulum,NHMSYS0000876215,1,2,30,11,mature
Lasioglossum xanthopus,NHMSYS0000876217,1,3,31,10,mature
Lasioglossum zonulum,NHMSYS0000876218,1,3,31,10,mature
Lasius emarginatus,NHMSYS0000876222,1,4,31,8,mature
Lasius meridionalis,NHMSYS0000876225,1,3,31,12,mature
Lasius platythorax,NBNSYS0100003683,1,3,31,12,mature
Lasius sabularum,NBNSYS0100003685,1,4,30,9,mature
Lasius umbratus,NHMSYS0000876228,1,3,31,12,mature
Lestiphorus bicinctus,NHMSYS0000876239,1,6,30,9,mature
Lindenius albilabris,NHMSYS0000876241,1,4,30,9,mature
Lindenius panzeri,NHMSYS0000876242,1,5,30,9,mature
