start_day,start_month,start_year,end_day,end_month,end_year,taxon,tvk
28,8,1971,31,8,1978,Gelechia sabinellus,NBNSYS0100003245
1,1,1957,,,,Anarsia lineatella,NHMSYS0000501234
6,8,1988,,,,Gelechia senticetella,NHMSYS0000502712
1,1,1981,,,,Metzneria neuropterella,NHMSYS0000503226
1,1,1965,,,,Scrobipalpa clintoni,NHMSYS0000504141
