code,taxon,tvk
3,Andrena nigroaenea,NHMSYS0000875243
5,Andrena nigrospina,NHMSYS0000875244
3,Andrena niveata,NHMSYS0000875247
3,Andrena ovatula,NHMSYS0000875249
3,Andrena pilipes,NHMSYS0000875254
5,Andrena polita,NHMSYS0000875256
3,Andrena praecox,NHMSYS0000875257
5,Andrena rosae,NHMSYS0000875262
3,Andrena ruficrus,NHMSYS0000875264
3,Andrena scotica,NHMSYS0000875268
3,Andrena semilaevis,NHMSYS0000875269
3,Andrena similis,NHMSYS0000875273
3,Andrena simillima,NHMSYS0000875274
3,Andrena subopaca,NHMSYS0000875279
4,Andrena synadelpha,NHMSYS0000875280
3,Andrena tarsata,NHMSYS0000875281
3,Andrena thoracica,NHMSYS0000875282
3,Andrena tibialis,NHMSYS0000875283
5,Andrena tridentata,NHMSYS0000875284
3,Andrena trimmerana,NHMSYS0000875285
5,Andrena vaga,NHMSYS0000875286
3,Andrena varians,NHMSYS0000875287
3,Andrena wilkella,NHMSYS0000875290
5,Anergates atratulus,NHMSYS0000875294
3,Anoplius caviventris,NHMSYS0000875304
3,Anoplius concinnus,NHMSYS0000875305
3,Anoplius infuscatus,NHMSYS0000875307
3,Anoplius nigerrimus,NHMSYS0000875308
4,Anteon arcuatum,NHMSYS0000875314
4,Anteon brachycerum,NHMSYS0000875317
4,Anteon ephippiger,NHMSYS0000875331
4,Anteon faciale,NHMSYS0000875332
4,Anteon flavicorne,NHMSYS0000875333
4,Anteon fulviventre,NHMSYS0000875338
4,Anteon gaullei,NHMSYS0000875341
4,Anteon infectum,NHMSYS0000875346
4,Anteon pubicorne,NHMSYS0000875365
4,Anteon reticulatum,NHMSYS0000875367
4,Anteon scapulare,NHMSYS0000875369
4,Anteon tripartitum,NHMSYS0000875378
1,Anthidium manicatum,NHMSYS0000875389
3,Anthophora bimaculata,NHMSYS0000875402
3,Anthophora furcata,NHMSYS0000875403
2,Anthophora plumipes,NHMSYS0000875407
3,Anthophora quadrimaculata,NHMSYS0000875408
3,Anthophora retusa,NHMSYS0000875409
