start_day,start_month,end_day,end_month,stage,taxon,tvk
12,5,16,8,mature,Platycnemis pennipes,NBNSYS0000005598
16,4,28,7,mature,Pyrrhosoma nymphula,NBNSYS0000005599
18,5,20,8,mature,Ischnura pumilio,NBNSYS0000005601
10,5,8,9,mature,Enallagma cyathigerum,NBNSYS0000005602
27,5,6,8,mature,Coenagrion mercuriale,NBNSYS0000005603
26,4,24,7,mature,Coenagrion pulchellum,NBNSYS0000005605
3,5,8,8,mature,Coenagrion puella,NBNSYS0000005606
8,5,12,8,mature,Coenagrion hastulatum,NBNSYS0000005607
30,4,22,8,mature,Erythromma najas,NBNSYS0000005610
6,6,31,8,mature,Ceriagrion tenellum,NBNSYS0000005611
4,6,26,9,mature,Lestes barbarus,NBNSYS0000005612
18,6,19,9,mature,Lestes sponsa,NBNSYS0000005613
3,6,20,8,mature,Lestes dryas,NBNSYS0000005614
27,4,9,8,mature,Calopteryx virgo,NBNSYS0000005616
6,5,23,8,mature,Calopteryx splendens,NBNSYS0000005617
3,5,23,6,mature,Gomphus vulgatissimus,NBNSYS0000005620
28,5,3,9,mature,Cordulegaster boltonii,NBNSYS0000005621
27,4,27,6,mature,Brachytron pratense,NBNSYS0000005622
20,5,11,8,mature,Aeshna caerulea,NBNSYS0000005623
22,6,5,10,mature,Aeshna juncea,NBNSYS0000005624
22,6,15,9,mature,Aeshna grandis,NBNSYS0000005625
21,6,12,10,mature,Aeshna cyanea,NBNSYS0000005626
21,7,19,10,mature,Aeshna mixta,NBNSYS0000005627
25,5,27,8,mature,Anax imperator,NBNSYS0000005630
27,4,18,7,mature,Cordulia aenea,NBNSYS0000005632
19,5,13,8,mature,Somatochlora arctica,NBNSYS0000005635
30,4,28,7,mature,Libellula depressa,NBNSYS0000005637
8,5,18,7,mature,Libellula fulva,NBNSYS0000005638
5,5,31,7,mature,Libellula quadrimaculata,NBNSYS0000005639
30,5,28,8,mature,Orthetrum coerulescens,NBNSYS0000005640
25,5,18,8,mature,Orthetrum cancellatum,NBNSYS0000005641
28,6,25,10,mature,Sympetrum striolatum,NBNSYS0000005645
22,6,26,9,mature,Sympetrum sanguineum,NBNSYS0000005650
2,7,10,10,mature,Sympetrum danae,NBNSYS0000005651
9,6,26,8,mature,Anax parthenope,NHMSYS0000344169
28,6,9,9,mature,Erythromma viridulum,NHMSYS0000344177
8,5,29,8,mature,Ischnura elegans,NHMSYS0000344179
8,5,19,9,mature,Sympetrum fonscolombii,NHMSYS0000344188
26,6,26,8,mature,Aeshna affinis,NHMSYS0020546806
1,5,18,7,mature,Leucorrhinia dubia,NHMSYS0020546892
26,5,19,8,mature,Somatochlora metallica,NHMSYS0020546972
16,7,22,10,mature,Chalcolestes viridis,NHMSYS0021009068
19,5,24,7,mature,Anaciaeschna isoceles,NHMSYS0021009091
10,4,4,1,mature,Anax ephippiger,NHMSYS0021009098
