"start_day","start_month","start_year","end_day","end_month","end_year","taxon","tvk"
,,,31,12,1995,"Isogenus nubecula","NBNSYS0000022438"
1,1,1913,31,12,1913,"Isoperla obscura","NBNSYS0000022440"
,,,31,12,1900,"Xanthoperla apicalis","NBNSYS0000159130"
