code,text
1,Anyone can ID with rudimentary knowledge.  Identifiable from photos
2,Can be identified with experience.  Identifiable by expert from photos
3,Needs microscope to ID.  Records from recorders of known experience accepted
4,Record needs to be confirmed by national expert.  Voucher specimens may be required
5,Voucher specimen required in all cases
