"km100","km10","coord_system","taxon","tvk"
"SH","12 13 22 23 24 27 28 29 32 33 34 36 37 38 39 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 60 61 62 63 64 65 66 67 68 71 72 73 74 75 76 77 78 81 82 83 84 85 86 87 88 92 93 94 95 96 97","OSGB","Hesperocorixa castanea","NHMSYS0000527543"
"SJ","00 01 03 04 05 07 08 10 11 12 13 16 17 18 20 21 22 23 26 27 28 30 32 35 36 37 43 44 45 46 47 50 52 54 55 56 57 58 61 62 64 65 66 67 69 70 71 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 90 92 93 94 95 96 97 98 99","OSGB","Hesperocorixa castanea","NHMSYS0000527543"
"SK","00 01 02 03 04 05 06 07 08 09 10 11 14 15 16 17 18 19 20 22 24 25 26 27 28 29 35 36 37 38 39 79 87 89 90 91 92 93 94 96 97","OSGB","Hesperocorixa castanea","NHMSYS0000527543"
"SM","81 83 92 94","OSGB","Hesperocorixa castanea","NHMSYS0000527543"
"SN","01 02 03 11 12 13 22 23 24 32 33 34 35 36 41 42 43 44 45 46 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 80 81 82 83 84 85 90 91 92 93 94 95 96","OSGB","Hesperocorixa castanea","NHMSYS0000527543"
"SO","00 01 02 03 04 05 08 10 11 12 13 14 15 16 18 20 21 22 23 24 25 26 27 28 29 30 31 32 34 36 37 38 39 40 46 47 48 49 50 51 57 58 59 61 67 68 69 73 74 76 77 78 79 80 81 85 86 87 88 89 90 91 92 97 98","OSGB","Hesperocorixa castanea","NHMSYS0000527543"
"SP","00 01 02 07 10 11 19 80 90","OSGB","Hesperocorixa castanea","NHMSYS0000527543"
"SS","11 20 21 22 30 31 32 40 41 50 51 52 53 60 61 62 63 70 71 72 73 77 81 82 88 89 97 98 99","OSGB","Hesperocorixa castanea","NHMSYS0000527543"
"ST","01 07 08 09 18 19 20 21 23 28 29 30 40 43 44 45 46 47 49 50 54 55 56 59 60 64 65 66 68 70 73 74 76 77 79 84 87 88 89 99","OSGB","Hesperocorixa castanea","NHMSYS0000527543"
"SU","00 01 10 11 20 21 30 31 32 40 41 42 46 47 50 51 56 57 60 66 67 68 70 71 72 73 75 76 77 78 79 81 82 83 84 85 86 87 88 89 91 92 93 94 95 96 97 98 99","OSGB","Hesperocorixa castanea","NHMSYS0000527543"
"SV","80 81 90 91","OSGB","Hesperocorixa castanea","NHMSYS0000527543"
"SW","32 33 42 43 44 52 53 54 61 62 63 64 65 71 72 73 74 75 76 81 82 83 84 85 87 93 94 95 96 97","OSGB","Hesperocorixa castanea","NHMSYS0000527543"
"SX","03 05 06 07 08 15 16 17 18 19 25 26 27 28 29 35 36 37 38 39 44 45 46 47 48 49 54 55 56 57 58 59 63 64 65 66 67 68 69 73 74 75 76 77 78 79 83 84 85 86 87 88 89 94 95 96 97 98 99","OSGB","Hesperocorixa castanea","NHMSYS0000527543"
"SY","07 08 09 18 28 29 39 48 49 58 59 66 67 68 69 77 78 79 87 88 89 97 98 99","OSGB","Hesperocorixa castanea","NHMSYS0000527543"
"SZ","07 08 09 19 29 38 39 48 49 57 58 59 68 69 79 89","OSGB","Hesperocorixa castanea","NHMSYS0000527543"
"TA","08 09 42","OSGB","Hesperocorixa castanea","NHMSYS0000527543"
"TF","00 01 02 03 04 06 08 09 10 16 18 19 25 26 27","OSGB","Hesperocorixa castanea","NHMSYS0000527543"
"TL","01 20 30 31 32 65 85 86 94 95 96 97","OSGB","Hesperocorixa castanea","NHMSYS0000527543"
"TM","04 06 15 16 18 26 27 36 37","OSGB","Hesperocorixa castanea","NHMSYS0000527543"
"TQ","01 02 03 04 05 06 08 09 11 12 13 14 15 16 17 19 21 22 23 24 25 26 27 28 29 32 33 34 35 36 42 43 44 46 47 51 52 53 54 55 61 62 63 64 70 71 72 73 74 80 81 82 83 84 91 93 94","OSGB","Hesperocorixa castanea","NHMSYS0000527543"
"TR","01 02 12 14 33","OSGB","Hesperocorixa castanea","NHMSYS0000527543"
"TV","49 69","OSGB","Hesperocorixa castanea","NHMSYS0000527543"
"SC","16 26 27 37 47","OSGB","Hesperocorixa moesta","NHMSYS0000527545"
"SD","21 35 36 60","OSGB","Hesperocorixa moesta","NHMSYS0000527545"
"SE","80 90 91","OSGB","Hesperocorixa moesta","NHMSYS0000527545"
"SH","12 13 22 23 24 27 28 29 32 33 34 36 37 38 39 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 61 63 66 67 68 75 76 77 78 86 87 88 96 97","OSGB","Hesperocorixa moesta","NHMSYS0000527545"
"SJ","07 55 56 58 64 65 66 67 68 69 73 74 75 76 77 78 79 83 85 86 87 88 93 94 95 96 97 98","OSGB","Hesperocorixa moesta","NHMSYS0000527545"
"SK","05 06 30 89 90 91 92 93 94 96 97","OSGB","Hesperocorixa moesta","NHMSYS0000527545"
"SM","50 62 70 71 72 73 80 81 82 83 84 92 93 94","OSGB","Hesperocorixa moesta","NHMSYS0000527545"
"SN","01 02 03 04 11 12 13 15 21 22 23 24 25 32 33 34 35 36 42 43 44 45 46 51 52 53 54 55 56 57 58 59 61 62 64 65 66 67 68 69 70 71 72 73 74 80 81 82 83 84 85 90 91 92 93 94 95 96","OSGB","Hesperocorixa moesta","NHMSYS0000527545"
"SO","00 01 02 03 04 05 06 10 11 12 13 14 15 16 20 21 22 23 24 25 26 30 32 34 36 37 40 50 60 61","OSGB","Hesperocorixa moesta","NHMSYS0000527545"
"SP","15 16 17 18 21 26 27 28 30 31 32 35 36 37 38 39 40 41 42 43 44 45 46 47 50 51 52 55 57 60 61 62 63 70 71 72 73 74 75 80 81 82 83 84 85 86 87 88 90 91 92 93 94 95 96 98 99","OSGB","Hesperocorixa moesta","NHMSYS0000527545"
"SR","89 99","OSGB","Hesperocorixa moesta","NHMSYS0000527545"
"SS","09 11 19 30 31 32 40 41 50 51 71 72 73 81 82 88 89 96 97 98 99","OSGB","Hesperocorixa moesta","NHMSYS0000527545"
"ST","00 04 06 07 08 09 10 11 12 14 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 40 41 42 43 44 45 46 47 48 50 51 52 53 54 55 56 57 58 59 60 61 63 64 66 69 70 72 74 76 86 98","OSGB","Hesperocorixa moesta","NHMSYS0000527545"
"SU","00 01 07 08 10 11 17 18 19 20 21 30 31 32 39 40 41 42 46 47 49 50 51 56 59 60 61 62 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99","OSGB","Hesperocorixa moesta","NHMSYS0000527545"
"SX","16 17 18 19 26 27 28 29 39 47 48 49 56 57 58 59 66 67 68 69 77 78 94 95 96 97","OSGB","Hesperocorixa moesta","NHMSYS0000527545"
"SY","08 18 19 28 29 39 48 49 58 59 67 68 69 78 79 87 88 89 97 98 99","OSGB","Hesperocorixa moesta","NHMSYS0000527545"
"SZ","08 09 19 29 38 39 47 48 49 57 58 59 68 69 79 89","OSGB","Hesperocorixa moesta","NHMSYS0000527545"
"TA","13 15 21 22 23 24 26 30 31 32 33 40 41","OSGB","Hesperocorixa moesta","NHMSYS0000527545"
"TF","00 01 02 04 10 11 20 21 26 30 31 32 40 41 48 49 50 55 56 57 58 60 61 62 63 64 70 71 72 73 74 80 81 82 83 84 90 91 92 93 94","OSGB","Hesperocorixa moesta","NHMSYS0000527545"
"TG","00 01 02 03 04 10 11 12 13 14 20 21 22 23 24 30 31 32 33 40 41 42 50 51","OSGB","Hesperocorixa moesta","NHMSYS0000527545"
"TL","00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 77 78 79 81 82 83 84 85 86 87 88 89 93 94 95 96 97 98 99","OSGB","Hesperocorixa moesta","NHMSYS0000527545"
"TM","04 06 07 08 09 15 16 17 18 19 26 27 28 29 36 37 38 39 46 48 49 59","OSGB","Hesperocorixa moesta","NHMSYS0000527545"
"TQ","00 01 02 03 04 05 06 07 08 09 11 12 13 14 15 16 17 18 19 20 21 22 23 24 26 27 28 29 31 32 33 34 36 37 38 39 40 41 42 43 44 45 46 47 48 49 51 52 53 54 57 58 59 60 61 62 63 64 68 69 70 71 72 73 74 76 77 78 80 81 82 83 84 86 87 88 89 91 92 93 96 97 98","OSGB","Hesperocorixa moesta","NHMSYS0000527545"
"TR","01 02 03 06 07 09 12 13 15 16 23 25 26 27 33 34 35 36 37 46 47","OSGB","Hesperocorixa moesta","NHMSYS0000527545"
"TV","49 59 69","OSGB","Hesperocorixa moesta","NHMSYS0000527545"
"HW","83","OSGB","Hesperocorixa sahlbergi","NHMSYS0000527546"
"HX","62","OSGB","Hesperocorixa sahlbergi","NHMSYS0000527546"
"HY","10 20 21 22 30 31 32 33 40 41 42 43 44 45 50 51 52 53 54 61 62 63 64 73","OSGB","Hesperocorixa sahlbergi","NHMSYS0000527546"
"","64 74 92 93","OSGB","Hesperocorixa sahlbergi","NHMSYS0000527546"
"NB","02 03 12 22 23 24 25 31 32 33 34 35 40 41 42 43 44 45 46 52 53 54 55 56 90 91","OSGB","Hesperocorixa sahlbergi","NHMSYS0000527546"
"NC","00 01 02 03 10 11 12 13 14 15 16 20 21 22 23 24 25 26 27 30 36 37 40 41 42 45 46 50 51 53 54 55 56 60 61 63 64 65 66 70 71 72 73 74 75 76 80 81 82 83 84 85 86 90 91 92 93 94 95 96","OSGB","Hesperocorixa sahlbergi","NHMSYS0000527546"
"ND","01 02 03 04 05 06 07 12 13 14 15 16 17 19 23 24 25 26 27 29 33 34 35 36 37 38 39 48 49","OSGB","Hesperocorixa sahlbergi","NHMSYS0000527546"
"NF","09 19 60 67 70 71 72 73 74 75 76 77 80 81 82 83 84 85 86 87 88 89 95 96 97 98 99","OSGB","Hesperocorixa sahlbergi","NHMSYS0000527546"
"NG","08 09 13 18 20 24 29 30 31 32 33 40 41 42 43 44 49 50 51 52 53 54 56 60 61 62 65 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 87 88 89 90 93 94 97 98 99","OSGB","Hesperocorixa sahlbergi","NHMSYS0000527546"
"NH","00 05 09 10 11 12 15 18 19 20 21 22 23 25 30 31 32 33 34 35 36 38 39 40 41 42 43 44 45 46 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 98","OSGB","Hesperocorixa sahlbergi","NHMSYS0000527546"
"NJ","00 01 02 03 04 05 06 10 11 12 13 14 15 16 17 20 21 22 23 24 25 26 27 30 31 32 33 34 35 36 40 41 42 43 44 45 46 50 51 52 53 54 55 56 60 61 62 63 64 65 66 70 71 72 73 74 75 76 80 81 82 83 84 85 86 90 91 92 93 94 95 96","OSGB","Hesperocorixa sahlbergi","NHMSYS0000527546"
"NK","02 03 04 05 06 13 14 15","OSGB","Hesperocorixa sahlbergi","NHMSYS0000527546"
"NL","57 58 68 69 79 93 94","OSGB","Hesperocorixa sahlbergi","NHMSYS0000527546"
"NM","04 05 15 16 19 21 22 23 24 25 26 29 31 32 35 38 39 40 41 42 43 44 45 46 47 48 49 51 52 53 54 55 56 57 59 60 61 62 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99","OSGB","Hesperocorixa sahlbergi","NHMSYS0000527546"
"NN","00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99","OSGB","Hesperocorixa sahlbergi","NHMSYS0000527546"
"NO","00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 63 64 65 66 67 68 69 74 75 76 77 78 79 86 87 88 89 99","OSGB","Hesperocorixa sahlbergi","NHMSYS0000527546"
"NR","15 16 24 25 26 27 34 35 36 37 38 39 44 45 46 47 48 49 50 51 56 57 58 59 60 61 62 63 64 65 67 68 69 70 71 72 73 74 75 76 77 78 79 82 83 84 85 86 87 88 89 92 93 94 95 96 97 98 99","OSGB","Hesperocorixa sahlbergi","NHMSYS0000527546"
"NS","00 01 02 03 04 05 06 07 08 09 10 14 15 16 17 18 19 20 21 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99","OSGB","Hesperocorixa sahlbergi","NHMSYS0000527546"
"NT","00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 72 73 74 75 76 77 80 81 82 83 84 85 86 87 90 91 92 93 94 95 96","OSGB","Hesperocorixa sahlbergi","NHMSYS0000527546"
"NU","00 01 02 03 04 05 10 11 12 13 14 20 21 22 23","OSGB","Hesperocorixa sahlbergi","NHMSYS0000527546"
"NW","95 96 97","OSGB","Hesperocorixa sahlbergi","NHMSYS0000527546"
"NX","03 04 05 06 07 08 09 13 14 15 16 17 18 19 24 25 26 27 28 29 30 33 34 35 36 37 38 39 40 43 44 45 46 47 48 49 54 55 56 57 58 59 64 65 66 67 68 69 74 75 76 77 78 79 84 85 86 87 88 89 90 91 92 93 95 96 97 98 99","OSGB","Hesperocorixa sahlbergi","NHMSYS0000527546"
"NY","00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99","OSGB","Hesperocorixa sahlbergi","NHMSYS0000527546"
"NZ","00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 40 41 42 43 44 45 46 50 51 52 53 60 61 62 70 71 72 80 81 90 91","OSGB","Hesperocorixa sahlbergi","NHMSYS0000527546"
"SC","16 17 26 27 28 36 37 38 39 47 48 49","OSGB","Hesperocorixa sahlbergi","NHMSYS0000527546"
"SD","08 09 16 17 18 19 20 21 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99","OSGB","Hesperocorixa sahlbergi","NHMSYS0000527546"
"SE","00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99","OSGB","Hesperocorixa sahlbergi","NHMSYS0000527546"
"SH","12 13 22 23 24 27 28 29 32 33 34 36 37 38 39 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 60 61 62 63 64 65 66 67 68 70 71 73 75 76 77 78 80 81 82 85 86 87 88 90 91 92 94 96 97 98","OSGB","Hesperocorixa sahlbergi","NHMSYS0000527546"
"SJ","00 01 02 03 05 06 07 08 10 11 12 13 14 15 16 17 18 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99","OSGB","Hesperocorixa sahlbergi","NHMSYS0000527546"
"SK","00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99","OSGB","Hesperocorixa sahlbergi","NHMSYS0000527546"
"SM","50 62 70 71 72 73 80 81 82 83 84 90 91 92 93 94","OSGB","Hesperocorixa sahlbergi","NHMSYS0000527546"
"SN","00 01 02 03 04 11 12 13 14 15 20 21 22 23 24 25 30 31 32 33 34 35 36 40 41 42 43 44 45 46 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99","OSGB","Hesperocorixa sahlbergi","NHMSYS0000527546"
"SO","00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99","OSGB","Hesperocorixa sahlbergi","NHMSYS0000527546"
"SP","00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99","OSGB","Hesperocorixa sahlbergi","NHMSYS0000527546"
"SR","89 99","OSGB","Hesperocorixa sahlbergi","NHMSYS0000527546"
"SS","09 11 14 19 20 21 22 30 31 32 38 39 40 41 42 43 44 48 49 50 51 52 53 54 58 59 60 61 62 63 64 68 69 70 71 72 73 74 77 78 79 80 81 82 83 84 87 88 89 90 91 92 93 94 96 97 98 99","OSGB","Hesperocorixa sahlbergi","NHMSYS0000527546"
"ST","00 01 02 03 04 06 07 08 09 10 11 12 13 14 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99","OSGB","Hesperocorixa sahlbergi","NHMSYS0000527546"
"SU","00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99","OSGB","Hesperocorixa sahlbergi","NHMSYS0000527546"
"SV","80 81 90 91","OSGB","Hesperocorixa sahlbergi","NHMSYS0000527546"
"SW","32 33 42 43 44 52 53 54 61 62 63 64 65 71 72 73 74 75 76 81 82 83 84 85 86 87 93 94 95 96 97","OSGB","Hesperocorixa sahlbergi","NHMSYS0000527546"
"SX","03 04 05 06 07 08 09 14 16 17 18 19 25 26 27 28 29 35 36 37 38 39 44 45 46 47 48 49 54 55 56 57 58 59 63 64 65 66 67 68 69 73 74 75 76 77 78 79 83 84 85 86 87 88 89 94 95 96 97 98 99","OSGB","Hesperocorixa sahlbergi","NHMSYS0000527546"
"SY","07 08 09 18 19 28 29 39 48 49 58 59 66 67 68 69 77 78 79 87 88 89 97 98 99","OSGB","Hesperocorixa sahlbergi","NHMSYS0000527546"
"SZ","07 08 09 19 28 29 38 39 47 48 49 57 58 59 68 69 79 89 99","OSGB","Hesperocorixa sahlbergi","NHMSYS0000527546"
"TA","00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 20 21 22 23 24 26 27 30 31 32 33 40 41 42","OSGB","Hesperocorixa sahlbergi","NHMSYS0000527546"
"TF","00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 55 56 57 58 60 61 62 63 64 70 71 72 73 74 80 81 82 83 84 90 91 92 93 94","OSGB","Hesperocorixa sahlbergi","NHMSYS0000527546"
"TG","00 01 02 03 04 10 11 12 13 14 20 21 22 23 24 30 31 32 33 40 41 42 50 51","OSGB","Hesperocorixa sahlbergi","NHMSYS0000527546"
"TL","00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99","OSGB","Hesperocorixa sahlbergi","NHMSYS0000527546"
"TM","00 01 02 03 04 05 06 07 08 09 11 12 13 14 15 16 17 18 19 21 22 23 24 25 26 27 28 29 33 34 35 36 37 38 39 44 45 46 47 48 49 57 58 59","OSGB","Hesperocorixa sahlbergi","NHMSYS0000527546"
"TQ","00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 91 92 93 94 95 96 97 98 99","OSGB","Hesperocorixa sahlbergi","NHMSYS0000527546"
"TR","01 02 03 04 05 06 07 09 12 13 14 15 16 23 24 25 26 27 33 34 35 36 37 46 47","OSGB","Hesperocorixa sahlbergi","NHMSYS0000527546"
"TV","49 59 69","OSGB","Hesperocorixa sahlbergi","NHMSYS0000527546"
"TG","01 02 03 11 12 13 14 20 21 22 23 30 31 32 33 40 41 42 50 51","OSGB","Hydrometra gracilenta","NHMSYS0000527547"
"TM","39 46 47 49 58 59","OSGB","Hydrometra gracilenta","NHMSYS0000527547"
"TQ","20 40 60 80 91","OSGB","Hydrometra gracilenta","NHMSYS0000527547"
"TR","01","OSGB","Hydrometra gracilenta","NHMSYS0000527547"
"TV","49 59 69","OSGB","Hydrometra gracilenta","NHMSYS0000527547"
"NM","21 23 24 33 34 35 37 38 41 42 43 44 45 46 51 54 55 56 57 59 61 63 64 66 67 70 71 72 73 74 75 80 81 82 83 84 86 90 91 92 93 94 95 96","OSGB","Hydrometra stagnorum","NHMSYS0000527548"
"NN","00 01 02 03 04 05 06 10 11 12 14 16 17 20 30 31 40 50 51 52 53 60 62 63 70 71 72 74 80 81 82 84 90 91 92 93 94","OSGB","Hydrometra stagnorum","NHMSYS0000527548"
"NO","01 02 03 04 11 12 13 14 20 22 23 34","OSGB","Hydrometra stagnorum","NHMSYS0000527548"
"NR","15 16 24 25 26 27 34 35 36 37 38 39 44 45 46 47 49 50 51 56 57 58 59 60 61 62 63 64 65 67 68 70 71 72 73 74 75 76 77 78 79 82 83 84 85 86 87 88 89 92 94 95 96 97 98 99","OSGB","Hydrometra stagnorum","NHMSYS0000527548"
"NS","01 02 03 04 05 06 09 10 14 15 16 17 20 21 23 29 39 48 49 58 59 68 69 78 79 88 98","OSGB","Hydrometra stagnorum","NHMSYS0000527548"
"NT","00 07 08 17 18 27 28 47 49 50 62 72 73 83 84 92 93 94","OSGB","Hydrometra stagnorum","NHMSYS0000527548"
"NU","01 02 03 04 13 23","OSGB","Hydrometra stagnorum","NHMSYS0000527548"
"NW","95 96 97","OSGB","Hydrometra stagnorum","NHMSYS0000527548"
"NX","04 05 06 07 08 09 13 14 15 18 19 24 25 30 33 34 40 43 44 45 46 54 55 64 65 66 67 68 74 75 76 77 78 84 85 86 87 88 89 90 91 92 93 95 96 97 98 99","OSGB","Hydrometra stagnorum","NHMSYS0000527548"
"NY","00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 30 31 32 33 34 35 36 37 38 40 41 42 43 44 45 46 47 48 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 70 71 74 76 86 87 88 95 96 97","OSGB","Hydrometra stagnorum","NHMSYS0000527548"
"NZ","00 01 10 11 12 13 14 16 20 21 22 23 24 25 26 30 31 32 33 34 35 36 37 38 40 41 42 43 44 45 46 50 51 52 53 60 61 62 70 71 72 80 81 90 91","OSGB","Hydrometra stagnorum","NHMSYS0000527548"
"SC","16 17 26 27 28 36 37 38 39 47 48 49","OSGB","Hydrometra stagnorum","NHMSYS0000527548"
"SD","08 09 16 17 18 19 20 21 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99","OSGB","Hydrometra stagnorum","NHMSYS0000527548"
"SE","00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99","OSGB","Hydrometra stagnorum","NHMSYS0000527548"
"SH","12 13 22 23 24 27 28 29 32 33 34 36 37 38 39 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 60 61 62 63 64 65 66 67 68 70 71 72 73 74 75 76 77 78 80 81 82 83 84 85 86 87 88 90 91 92 93 94 95 96 97 98","OSGB","Hydrometra stagnorum","NHMSYS0000527548"
"SJ","00 01 02 03 04 05 06 07 08 10 11 12 13 14 15 16 17 18 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99","OSGB","Hydrometra stagnorum","NHMSYS0000527548"
