code,taxon,tvk
3,Sphegina clunipes,NBNSYS0000007036
3,Sphegina verecunda,NBNSYS0000007038
3,Anasimyia contracta,NBNSYS0000007039
4,Anasimyia interpuncta,NBNSYS0000007040
2,Anasimyia lineata,NBNSYS0000007041
4,Anasimyia lunulata,NBNSYS0000007042
4,Anasimyia transfuga,NBNSYS0000007043
2,Eristalinus aeneus,NBNSYS0000007044
2,Eristalinus sepulchralis,NBNSYS0000007045
2,Eristalis arbustorum,NBNSYS0000007047
2,Eristalis cryptarum,NBNSYS0000007048
3,Eristalis horticola,NBNSYS0000007049
2,Eristalis nemorum,NBNSYS0000007051
1,Eristalis pertinax,NBNSYS0000007052
3,Eristalis rupium,NBNSYS0000007053
1,Eristalis tenax,NBNSYS0000007054
5,Helophilus groenlandicus,NBNSYS0000007055
2,Helophilus hybridus,NBNSYS0000007056
2,Helophilus pendulus,NBNSYS0000007057
2,Helophilus trivittatus,NBNSYS0000007058
2,Mallota cimbiciformis,NBNSYS0000007060
1,Myathropa florea,NBNSYS0000007061
3,Parhelophilus consimilis,NBNSYS0000007062
3,Parhelophilus frutetorum,NBNSYS0000007063
3,Parhelophilus versicolor,NBNSYS0000007064
3,Eumerus ornatus,NBNSYS0000007065
3,Eumerus sabulonum,NBNSYS0000007066
3,Eumerus strigatus,NBNSYS0000007067
1,Merodon equestris,NBNSYS0000007069
3,Psilota anthracina,NBNSYS0000007070
2,Pelecocera tricincta,NBNSYS0000007073
3,Heringia heringi,NBNSYS0000007074
3,Pipiza austriaca,NBNSYS0000007080
4,Pipiza lugubris,NBNSYS0000007083
2,Pipiza luteitarsis,NBNSYS0000007084
3,Pipiza noctiluca,NBNSYS0000007085
4,Pipizella maculipennis,NBNSYS0000007086
3,Pipizella virens,NBNSYS0000007088
2,Trichopsomyia flavitarsis,NBNSYS0000007089
3,Triglyphus primus,NBNSYS0000007090
2,Sericomyia lappona,NBNSYS0000007092
1,Sericomyia silentis,NBNSYS0000007093
1,Volucella bombylans,NBNSYS0000007094
2,Volucella inanis,NBNSYS0000007095
2,Volucella inflata,NBNSYS0000007096
1,Volucella pellucens,NBNSYS0000007097
2,Volucella zonaria,NBNSYS0000007098
1,Blera fallax,NBNSYS0000007099
2,Brachypalpus laphriformis,NBNSYS0000007101
2,Caliprobola speciosa,NBNSYS0000007102
3,Chalcosyrphus nemorum,NBNSYS0000007103
3,Chalcosyrphus eunotus,NBNSYS0000007104
2,Criorhina asilica,NBNSYS0000007105
2,Criorhina berberina,NBNSYS0000007106
2,Criorhina floccosa,NBNSYS0000007107
2,Criorhina ranunculi,NBNSYS0000007108
2,Pocota personata,NBNSYS0000007109
1,Syritta pipiens,NBNSYS0000007110
2,Tropidia scita,NBNSYS0000007111
3,Xylota abiens,NBNSYS0000007112
3,Xylota florum,NBNSYS0000007114
1,Xylota segnis,NBNSYS0000007115
2,Xylota sylvarum,NBNSYS0000007116
4,Xylota tarda,NBNSYS0000007117
4,Xylota xanthocnema,NBNSYS0000007118
3,Microdon devius,NBNSYS0000007119
5,Cheilosia uviformis,NBNSYS0000033081
3,Sphegina sibirica,NBNSYS0000033089
3,Platycheirus ramsarensis,NBNSYS0000033094
3,Platycheirus europaeus,NBNSYS0000033125
3,Platycheirus occultus,NBNSYS0000033187
3,Platycheirus peltatus,NBNSYS0000033188
5,Epistrophe ochrostoma,NBNSYS0000033189
4,Epistrophe melanostoma,NBNSYS0000033212
4,Sphaerophoria bankowskae,NBNSYS0000033254
5,Helophilus affinis,NBNSYS0000042363
5,Cheilosia psilophthalma,NBNSYS0000042524
5,Paragus constrictus,NBNSYS0000042529
5,Cheilosia ahenea,NBNSYS0000144219
3,Chrysogaster cemiteriorum,NBNSYS0000144380
2,Doros profuges,NBNSYS0000146310
3,Lejogaster tarsata,NBNSYS0000150120
3,Sphaerophoria interrupta,NBNSYS0000157028
3,Sphaerophoria philanthus,NBNSYS0000157031
3,Sphegina elegans,NBNSYS0000157089
2,Brachypalpoides lentus,NBNSYS0100002071
3,Cheilosia lasiopa,NBNSYS0100002329
4,Cheilosia latifrons,NBNSYS0100002330
3,Cheilosia ranunculi,NBNSYS0100002331
3,Cheilosia urbana,NBNSYS0100002332
3,Cheilosia vicina,NBNSYS0100002333
3,Dasysyrphus pinastri,NBNSYS0100002754
4,Eriozona erratica,NBNSYS0100003070
4,Eristalis similis,NBNSYS0100003072
4,Eupeodes lapponicus,NBNSYS0100003108
3,Eupeodes latifasciatus,NBNSYS0100003109
5,Eupeodes lundbecki,NBNSYS0100003111
4,Eupeodes nielseni,NBNSYS0100003112
4,Eupeodes nitens,NBNSYS0100003113
4,Heringia brevidens,NBNSYS0100003448
3,Heringia latitarsis,NBNSYS0100003449
3,Heringia pubescens,NBNSYS0100003450
4,Heringia verrucula,NBNSYS0100003451
4,Heringia vitripennis,NBNSYS0100003452
2,Lejops vittatus,NBNSYS0100003702
4,Melanogaster aerosa,NBNSYS0100003968
3,Melanogaster hirtella,NBNSYS0100003969
3,Meligramma euchromum,NBNSYS0100003973
4,Meligramma guttatum,NBNSYS0100003975
4,Meligramma trianguliferum,NBNSYS0100003977
3,Microdon analis,NBNSYS0100004052
3,Myolepta dubia,NBNSYS0100004156
3,Parasyrphus lineola,NBNSYS0100004457
4,Parasyrphus malinellus,NBNSYS0100004458
1,Platycheirus granditarsus,NBNSYS0100004762
1,Platycheirus rosarum,NBNSYS0100004763
4,Platycheirus splendidus,NBNSYS0100004764
2,Riponnensia splendens,NBNSYS0100005170
5,Syrphus rectus,NBNSYS0100005686
