code,text
1,"Can be identified at sight in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo."
2,"Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
3,"Identification only accepted from known recorders or else needs confirmation from vice county recorder"
4,"Species needs confirmation from national expert"
5,"Voucher specimen required to be examined by national expert"
