code,text
1,Can be identified at sight in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo.  Records acceptable from most sources.
2,Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check
3,Specimen needs checking under magnification and good lighting. The Recording Scheme would accept records from experienced recorders without further question unless the date
4,Voucher specimen should be retained. The Recording Scheme would require confirmation in the majority of cases
5,Even the most expert of recorders would seek a second opinion. Specimen may need to be submitted to experts elsewhere in Europe for comparison with a wider range of material.
