code,text
1,Can be identified by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar.
2,Can be identified by an experienced botanist
3,Identification only accepted from known recorders or else needs confirmation from vice-county recorder
4,Voucher specimen required to be examined by national expert
