code,text
1,"Easily recognised by sight, even by beginners. Accept records from most sources."
3,Can be identified by sight with some training or experience. May pose some difficulty in some conditions. Records from beginners may need verification but records should be accepted from experienced recorders.
4,"Difficult to identify in most conditions. Close inspection is necessary, for example in a trap. Records from beginners will need verification but records will be accepted from experienced recorders."
5,Needs confirmation by an expert.
