code,text
1,"Rare species: A taxon is regarded as 'Rare' if the species was designated Notable or Rare during the last status review (Kirby, 1992) and has not since undergone significant range expansion"
2,Recent arrival: The species is a recent arrival in Britain and still has a very restricted distribution (<30 hectads)
3,Recently recognised species: An overlooked resident species which has only recently been recognised as such
