taxon,tvk,start_day,start_month,start_year,end_day,end_month,end_year
Cymatia rogenhoferi,NHMSYS0020063202,1,1,2005,,,
Micronecta (Micronecta) griseola,NHMSYS0020309456,1,1,2000,,,
Naucoris maculatus,NHMSYS0000583218,1,1,2004,,,
Sigara (Subsigara) iactans,NHMSYS0020309836,1,1,2005,,,
Sigara (Subsigara) longipalis,NHMSYS0020309837,1,1,2006,,,
