code,text
1,Can be identified at sight in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo.
2,"Males can be identified at sight in the field by anyone with a little experience. Females need a good view of the individual, preferably with close-focus binoculars, to check. Both males and females may be identifiable from a good photo, or series of photos showing different angles."
3,"Can be identified in the field with care and experience. Needs a good view, preferably with close-focus binoculars. May be identifiable from a good photo, or series of photos showing different angles."
4,Males can be identified in the field with care and experience. Female identification only accepted from known recorders or from good photographic evidence or else needs confirmation from a BDS County Dragonfly Recorder.
5,Identification only accepted from known recorders with good photographic evidence or written descriptions. Record requires confirmation from the BDS Odonata Rarities Committee.
